claim_id,entity,claim,source_id,evidence_excerpt_or_field,confidence,used_in_readme,used_in_score,notes
C001,"Преп-Центр","Есть отдельная услуга фулфилмента косметики с контролем, ВПП, ЧЗ и FBO/FBS",S001,"service scope","HIGH",TRUE,TRUE,""
C002,"Преп-Центр","8 400 единиц косметики и 14 SKU обработаны за 2 рабочих дня",S002,"8400; 14 SKU; 2 days","HIGH",TRUE,TRUE,""
C003,"Преп-Центр","На входном контроле выявлены 55 проблемных единиц",S002,"55 problem units","HIGH",TRUE,TRUE,""
C004,"Преп-Центр","Сформировано 5 FBO-поставок для WB и Ozon",S002,"3 WB + 2 Ozon","HIGH",TRUE,TRUE,""
C005,"Преп-Центр","Есть отдельная услуга комплектации наборов",S003,"kitting service","HIGH",TRUE,TRUE,""
C006,"Преп-Центр","Опубликован прайс из 129 тарифов",S004,"129 tariffs","HIGH",TRUE,TRUE,""
C007,"Преп-Центр","Складские операции ведутся через WMS",S005,"WMS operations","HIGH",TRUE,TRUE,""
C008,"Helpberries","Косметический кейс включает жидкую продукцию и защиту от протечек/боя",S006,"liquid category","HIGH",TRUE,TRUE,""
C009,"Helpberries","Кейс достиг 400+ заказов/сутки и использует FBS/FBO",S006,"400+ orders/day","HIGH",TRUE,TRUE,""
C010,"Helpberries","Есть отдельный кейс натуральной косметики с 250+ SKU",S007,"250+ SKU","HIGH",TRUE,TRUE,""
C011,"Helpberries","Косметические наборы 3-в-1 собираются на фулфилменте",S008,"kitting case","HIGH",TRUE,TRUE,""
C012,"FullBox","Есть отдельная услуга косметики с контролем сроков и флаконов",S010,"category service","HIGH",TRUE,TRUE,""
C013,"FullBox","Подтверждены ЧЗ, защитная упаковка, наборы, WMS и несколько площадок",S010,"operations","HIGH",TRUE,TRUE,""
C014,"FullBox","Для косметики опубликована упаковка от 8 руб./ед.",S011,"cosmetics tariff","HIGH",TRUE,TRUE,""
C015,"Родной Дом","Для косметики проверяются бой и подтеки",S013,"breakage/leaks","HIGH",TRUE,TRUE,""
C016,"Родной Дом","Подтверждены ВПП/термоусадка, ЧЗ, наборы и FBO/FBS",S013,"operations","HIGH",TRUE,TRUE,""
C017,"WBBK","Приемка косметики включает сроки годности и целостность",S014,"expiry/integrity","HIGH",TRUE,TRUE,""
C018,"WBBK","Есть ЧЗ, FBO/FBS/DBS, WMS и открытый прайс",S014,"operations","HIGH",TRUE,TRUE,""
C019,"Нитропак","Для косметики контролируются сроки годности и защищаются стекло/флаконы",S015,"category process","HIGH",TRUE,TRUE,""
C020,"Нитропак","Подтверждены ЧЗ, WMS и прозрачные тарифы",S015,"operations","HIGH",TRUE,TRUE,""
C021,"UpMarket","Для косметики опубликован фиксированный тариф 45 руб./ед.",S016,"45 RUB/unit","HIGH",TRUE,TRUE,""
C022,"UpMarket","Косметика может упаковываться в ВПП или термоусадку",S017,"packaging","HIGH",TRUE,TRUE,""
C023,"UpMarket","Независимое интервью подтверждает контроль жидкой косметики на герметичность",S018,"leak-tightness control","HIGH",TRUE,TRUE,""
C024,"Full-Fix","Собственная WMS контролирует маркировку и блокирует ошибочные позиции",S019,"WMS/marking control","HIGH",TRUE,TRUE,""
C025,"Full-Fix","WMS заявляет 300 000+ товаров/мес и 99,8% точность маркировки",S020,"300k+;99.8%","HIGH",TRUE,TRUE,""
C026,"U2Pack","Косметика упаковывается в термоусадку, барьерные пленки и ВПП",S021,"packaging","HIGH",TRUE,TRUE,""
C027,"U2Pack","Мощность упаковки косметики до 30 000 единиц за смену",S021,"30000/shift","HIGH",TRUE,TRUE,""
C028,"U2Pack","Подтверждена сборка косметических наборов",S021,"sets","HIGH",TRUE,TRUE,""
C029,"LOGIDEX","Для жидкостей используется ZIP, для хрупкого ВПП, косметика работает с КИЗ",S023,"packaging + KIZ","HIGH",TRUE,TRUE,""
C030,"LOGIDEX","Поддерживаются FBO и FBS",S023,"marketplace flows","HIGH",TRUE,TRUE,""
C031,"Fulfilment Evolution","Опубликована мощность до 15 000 единиц/сутки",S024,"15000/day","HIGH",FALSE,TRUE,""
C032,"Fulfilment Evolution","Есть ЧЗ, упаковка, проверка брака и открытые тарифы",S024,"operations","HIGH",FALSE,TRUE,""
C033,"TWOBOX","Есть контроль качества, сроков хранения, ЧЗ, ВПП и прозрачный прайс",S025,"operations","HIGH",FALSE,TRUE,""
C034,"HappyBrands Fulfillment","Есть хрупкое, наборы, ЧЗ, FBO/FBS и учет в 1С",S026,"operations","HIGH",FALSE,TRUE,""
C035,"HappyBrands Fulfillment","Коды ЧЗ проверяются на приемке, сборке и возврате",S027,"three-stage marking control","HIGH",FALSE,TRUE,""
